itemID,templateCreatedWith,templateEditedWith,templateDataVersion,sectionShadowUsed,sectionTextUsed,sectionBackground,numSections,flickr,google,arcgis,unsplash,linkedImage,youtube,vimeo,numMaps,uniqueMaps,numWebScenes,uniqueWebScenes,numImages,numVideos
4b5b5af943904956b7e8f73a03198fa5,1.1.3,1.2.0,1.0.0,true,light,,18,0,0,1,0,0,0,0,0,0,0,0,19,0
bff32aa0f6014851a4470d0e0e58eaaf,1.1.3,1.2.0,1.0.0,true,light,,6,0,0,0,0,1,1,0,0,0,0,0,5,1
a6863b4431c9401e82bfcd4fb625e187,1.2.0-121216,1.2.0-121216,1.0.0,false,dark,light,2,0,0,0,0,1,0,0,0,0,0,0,1,0
6e2a8b3712224b4fa158213d599d5579,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,6,1,0,0,0,1,0,0,0,0,0,0,8,0
1b4cbcaf461f45299ebda52512a6f81e,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,2,0,0,0,0,1,0,0,0,0,0,0,1,0
8ce77a2b163848ccb1c594eddd742d02,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,8,0,0,0,0,1,0,0,0,0,0,0,8,0
33061f27527b40608b3c2700675f2e4f,1.1.3,1.1.3,1.0.0,true,light,,24,0,0,1,0,0,0,0,1,1,0,0,39,0
2c5217ea26f34fc2bbf8600cbb1422e0,1.1.3,1.1.3,1.0.0,true,dark,,9,1,0,0,0,0,0,0,0,0,0,0,4,0
e4bfacb71d9c4d71b03cb46086921705,1.1.3,1.1.3,1.0.0,false,dark,light,3,0,0,0,0,1,0,0,0,0,0,0,5,0
b762fecdfde7457cae485723befd3913,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,7,0,0,0,0,1,0,0,0,0,0,0,5,0
797db8e3db984e70a32b115f1e428dae,1.1.3,1.2.0,1.0.0,true,light,,4,0,0,1,0,0,0,0,0,0,0,0,7,0
092c32c6f2604803a3d9d368cd026bef,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,2,0,0,0,0,1,0,0,1,1,0,0,1,0
019e4c2910904958ab9fc4e4ddf4c7a9,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,2,0,0,0,0,1,0,0,0,0,0,0,3,0
a91e93bf6cd9462bb7a5372e2f04c5a2,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,12,1,0,0,0,0,0,0,0,0,0,0,2,0
9a635872499e4ed9b071d235d5b3b54f,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,2,0,0,0,0,1,0,0,0,0,0,0,2,0
aa09e6de0a144bad88ac6060e2983f34,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,2,0,0,0,0,1,0,0,0,0,0,0,4,0
c59d79f795424fcd8893bd62554123d0,1.1.3,1.2.0,1.0.0,true,light,,11,0,0,0,0,1,0,0,1,1,0,0,11,0
1e0aaa4bb6f3421fac9e4372eb02b591,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,12,0,0,0,0,1,0,0,0,0,0,0,11,0
6f1e3d70fe9a4099b7de9ed4b156f951,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,8,0,0,0,0,1,0,0,0,0,0,0,6,0
bd0bb11969c64c089a4267e0d9406638,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,3,1,0,0,0,1,0,0,0,0,0,0,6,0
fcab809151484d52ae28446528841112,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,2,1,0,0,0,0,0,0,0,0,0,0,1,0
08bb0a0f77994d9aaca4157c39e977a7,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,2,1,0,0,0,0,0,0,0,0,0,0,5,0
f2906e121363495cb61f7a4c8636f072,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,2,1,0,0,0,0,0,0,0,0,0,0,2,0
caebb986af1646beb62a48dd58b35f26,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,6,0,0,0,0,1,0,0,2,2,0,0,4,0
bc6147cf27b04b08acfef1a3f4e9feb8,1.1.3,1.6.2,1.0.0,false,dark,light,25,0,0,1,0,0,0,0,0,0,0,0,18,0
395fffc300b54fbe92869774d57d258e,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,2,0,0,1,0,0,0,0,2,2,0,0,1,0
feddce592ef7424b882f88f7f78ae511,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,16,1,0,0,0,1,0,0,0,0,0,0,15,0
b2e5082192ac4c78a0473cf184d58067,1.1.3,1.1.3,1.0.0,true,dark,,3,0,0,0,0,1,0,0,0,0,0,0,3,0
cf5b0e1d1949445dbb55a45e604bdce0,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,15,1,0,0,0,0,0,0,0,0,0,0,13,0
0bb6e288eb0a4802ac357f4f22d72de9,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,11,1,0,0,1,1,0,0,0,0,0,0,6,0
bffc906e6e544b2b9d5d9cd6abe87838,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,8,1,0,0,0,1,0,0,0,0,0,0,6,0
